TITLE,TITLE ABRV,Catalog,Rank,YEAR
ACTIVE AND REAL-TIME DATABASE SYSTEMS,ARTDB,CORE2008,C,2008
ADVANCED CONCEPTS FOR INTELLIGENT VISION SYSTEMS,ACIVS,CORE2008,B,2008
ADVANCED RESEARCH IN VLSI,ARVLSI,CORE2008,C,2008
IEEE INTERNATIONAL CONFERENCE ON ADVANCED VIDEO AND SIGNAL BASED SURVEILLANCE,AVSS,CORE2008,A,2008
ADVANCES IN CRYPTOLOGY,CRYPTO,CORE2008,A*,2008
ADVANCES IN INTELLIGENT SYSTEMS,AIS,CORE2008,C,2008
ADVANCES IN MODAL LOGIC,AiML,CORE2008,A,2008
ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS,NIPS,CORE2008,A*,2008
AGENT-ORIENTED INFORMATION SYSTEMS WORKSHOP,AOIS,CORE2008,B,2008
AGENT-ORIENTED SOFTWARE ENGINEERING WORKSHOP (MERGED INTO EMAS IN 2013),AOSE,CORE2008,B,2008
ALGEBRAIC METHODOLOGY AND SOFTWARE TECHNOLOGY,AMAST,CORE2008,C,2008
ALGORITHMS AND COMPLEXITY IN DURHAM,ACID,CORE2008,L,2008
ALGORITHMS AND DATA STRUCTURES SYMPOSIUM (WAS WORKSHOP ON ALGORITHMS AND DATA STRUCTURES),WADS,CORE2008,A,2008
AMERICAS CONFERENCE ON INFORMATION SYSTEMS,AMCIS,CORE2008,B,2008
ANNUAL CONFERENCE OF THE AUSTRALASIAN SOCIETY FOR COMPUTERS IN LEARNING IN TERTIARY EDUCATION,ASCILITE,CORE2008,L,2008
ANNUAL CONFERENCE OF THE COGNITIVE SCIENCE SOCIETY,CogSci,CORE2008,A,2008
ANNUAL CONFERENCE OF THE INTERNATIONAL ACADEMY FOR INFORMATION MANAGEMENT,IAIM,CORE2008,C,2008
ANNUAL CONFERENCE OF THE INTERNATIONAL SPEECH COMMUNICATION ASSOCIATION (WAS EUROSPEECH),Interspeech,CORE2008,C,2008
ANNUAL CONFERENCE ON COMPUTATIONAL LEARNING THEORY,COLT,CORE2008,A*,2008
ANNUAL CONFERENCE ON EVOLUTIONARY PROGRAMMING,EP,CORE2008,C,2008
ANNUAL CONFERENCE ON INNOVATION AND TECHNOLOGY IN COMPUTER SCIENCE EDUCATION,ITiCSE,CORE2008,A,2008
"ANNUAL CONVENTION FOR SURVEY, MAPPING AND REMOTE SENSING",RS,CORE2008,C,2008
ANNUAL MEETING OF THE DECISION SCIENCES INSTITUTE,DSI,CORE2008,C,2008
ANNUAL PPIG WORKSHOP,PPIG,CORE2008,B,2008
SELECTED AREAS IN CRYPTOGRAPHY,SAC,CORE2008,C,2008
APPLE UNIVERSITY CONSORTIUM ACADEMIC AND DEVELOPERS CONFERENCE,AUCADC,CORE2008,L,2008
APPLICATION OF COMPUTERS AND OPERATIONS RESEARCH IN THE MINERALS INDUSTRIES,APCOMin,CORE2008,C,2008
APPLICATION OF CONCURRENCY TO SYSTEM DESIGN,ACSD,CORE2008,B,2008
APPLICATIONS OF NATURAL LANGUAGE TO DATA BASES,NLDB,CORE2008,C,2008
ARCHITECTURAL SUPPORT FOR PROGRAMMING LANGUAGES AND OPERATING SYSTEMS,ASPLOS,CORE2008,A*,2008
ARTIFICIAL INTELLIGENCE IN MEDICINE,AIIM,CORE2008,A,2008
ARTIFICIAL INTELLIGENCE IN MEDICINE IN EUROPE,AIME,CORE2008,A,2008
ARTIFICIAL NEURAL NETWORKS IN ENGINEERING CONFERENCE,ANNIE,CORE2008,B,2008
ASIA PACIFIC CONFERENCE ON COMMUNICATIONS,APCC,CORE2008,B,2008
ASIA PACIFIC CONFERENCE ON HARDWARE DESCRIPTION LANGUAGES (WAS ASIA PACIFIC CHIPDESIGN LANGUAGES),APCHDL,CORE2008,L,2008
ASIA PACIFIC DECISION SCIENCE INSTITUTE CONFERENCE,APDSI,CORE2008,L,2008
ASIA AND SOUTH PACIFIC DESIGN AUTOMATION CONFERENCE,ASPDAC,CORE2008,L,2008
WEB AND BIG DATA,APWEB,CORE2008,B,2008
ASIAN COMPUTING SCIENCE CONFERENCE,ASIAN,CORE2008,B,2008
ASIAN CONFERENCE ON COMPUTER VISION,ACCV,CORE2008,B,2008
ASIAN INTERNATIONAL MOBILE COMPUTING CONFERENCE,AMOC,CORE2008,B,2008
ASIAN SYMPOSIUM ON PROGRAMMING LANGUAGES AND SYSTEMS,APLAS,CORE2008,B,2008
ASIA-PACIFIC BIOINFORMATICS CONFERENCE,APBC,CORE2008,B,2008
ASIA-PACIFIC COMPUTER HUMAN INTERACTION CONFERENCE,APCHI,CORE2008,B,2008
ASIA-PACIFIC CONFERENCE ON SIMULATED EVOLUTION AND LEARNING,SEAL,CORE2008,B,2008
ASIA-PACIFIC FORUM ON ENGINEERING AND TECHNOLOGY EDUCATION,AFETE,CORE2008,L,2008
ASIA-PACIFIC NETWORK OPERATIONS AND MANAGEMENT SYMPOSIUM,APNOMS,CORE2008,B,2008
ASIA-PACIFIC SOFTWARE ENGINEERING CONFERENCE,APSEC,CORE2008,B,2008
"ASILOMAR CONFERENCE ON SIGNALS, SYSTEMS AND COMPUTING",ACSSC,CORE2008,L,2008
ASPECT-ORIENTED SOFTWARE DEVELOPMENT,AOSD,CORE2008,A,2008
ASSOCIATION FOR COMPUTER-AIDED ARCHITECTURAL DESIGN RESEARCH IN ASIA (CAADRIA) ANNUAL CONFERENCE,CAADRIA,CORE2008,C,2008
ASSOCIATION OF COMPUTATIONAL LINGUISTICS,ACL,CORE2008,A*,2008
AUSTRALASIA CONFERENCE ON INFORMATION SECURITY AND PRIVACY,AISP,CORE2008,B,2008
AUSTRALASIAN COGNITIVE SCIENCE SOCIETY CONFERENCE,AuCSS,CORE2008,L,2008
AUSTRALASIAN COMPUMOD USERS' CONFERENCE,COMPUMOD,CORE2008,L,2008
AUSTRALASIAN COMPUTER ARCHITECTURE CONFERENCE,ACAC,CORE2008,L,2008
AUSTRALASIAN COMPUTER MUSIC CONFERENCE,ACMA,CORE2008,L,2008
AUSTRALASIAN COMPUTER SCIENCE CONFERENCE,ACSC,CORE2008,B,2008
AUSTRALASIAN COMPUTER SYSTEMS ARCHITECTURE CONFERENCE (NOW ASIA-PACIFIC COMPUTER SYSTEMS ARCHITECTURE CONFERENCE),ACSAC,CORE2008,B,2008
AUSTRALASIAN COMPUTERS IN EDUCATION CONFERENCE,ACEC,CORE2008,L,2008
AUSTRALASIAN CONFERENCE ON COMBINATORIAL MATHEMATICS AND COMBINATORIAL COMPUTING,ACCMCC,CORE2008,L,2008
AUSTRALASIAN COMPUTING EDUCATION CONFERENCE (ACE),ACE,CORE2008,B,2008
AUSTRALASIAN CONFERENCE ON INFORMATION SECURITY AND PRIVACY,ACISP,CORE2008,B,2008
AUSTRALASIAN CONFERENCE ON INFORMATION SYSTEMS,ACIS,CORE2008,B,2008
AUSTRALASIAN CONFERENCE ON PARALLEL AND REAL-TIME SYSTEMS,APRTS,CORE2008,L,2008
AUSTRALASIAN CONFERENCE ON ROBOTICS AND AUTOMATION,ACRA,CORE2008,B,2008
AUSTRALASIAN DATABASE CONFERENCE,ADC,CORE2008,B,2008
AUSTRALASIAN REFINEMENT WORKSHOP,AuRW,CORE2008,L,2008
AUSTRALASIAN SPEECH SCIENCE AND TECHNOLOGY,SST,CORE2008,B,2008
AUSTRALASIAN URBAN AND REGIONAL INFORMATION SYSTEMS ASSOCIATION CONFERENCE,AURISA,CORE2008,L,2008
AUSTRALASIAN USER INTERFACE CONFERENCE,AUIC,CORE2008,B,2008
AUSTRALASIAN WOMEN IN COMPUTING WORKSHOP,WIC,CORE2008,L,2008
AUSTRALASIAN WORKSHOP ON COMBINATORIAL ALGORITHMS,AWOCA,CORE2008,L,2008
ASIA PACIFIC SYMPOSIUM ON INTELLIGENT AND EVOLUTIONARY SYSTEMS (WAS AUSTRALIA-JAPAN JOINT WORKSHOP ON  INTELLIGENT AND EVOLUTIONARY SYSTEMS),IES,CORE2008,L,2008
AUSTRALIAN AND NEW ZEALAND INTELLIGENT INFORMATION SYSTEMS CONFERENCE,ANZIIS,CORE2008,B,2008
AUSTRALIAN COMPUTER HUMAN INTERACTION CONFERENCE,OZCHI,CORE2008,B,2008
AUSTRALIAN CONFERENCE FOR KNOWLEDGE MANAGEMENT AND INTELLIGENT DECISION SUPPORT,ACKMIDS,CORE2008,L,2008
AUSTRALIAN CONFERENCE ON ARTIFICIAL LIFE AND COMPUTATIONAL INTELLIGENCE,ACALCI,CORE2008,B,2008
AUSTRALIAN CONFERENCE ON NEURAL NETWORKS,ACNN,CORE2008,L,2008
AUSTRALIAN CONFERENCE ON SOFTWARE METRICS,ACOSM,CORE2008,B,2008
AUSTRALIAN DATA MINING CONFERENCE,AusDM,CORE2008,B,2008
AUSTRALIAN INFORMATION WARFARE AND SECURITY CONFERENCE,WarSec,CORE2008,L,2008
AUSTRALIAN INSTITUTE OF COMPUTER ETHICS CONFERENCE,AICE,CORE2008,L,2008
AUSTRALIAN KNOWLEDGE ACQUISITION WORKSHOP,AKAW,CORE2008,L,2008
AUSTRALIAN MADYMO USERS MEETING,MADYMO,CORE2008,L,2008
AUSTRALIAN MATLAB CONFERENCE,MATLAB,CORE2008,L,2008
AUSTRALIAN SOFTWARE ENGINEERING CONFERENCE,ASWEC,CORE2008,B,2008
AUSTRALIAN SUPERCOMPUTING CONFERENCE,ACS,CORE2008,B,2008
AUSTRALIAN SYMPOSIUM ON INFORMATION VISUALISATION,ASIV,CORE2008,L,2008
