TITLE,TITLE ABRV,Catalog,Rank,YEAR
"INFORMATICS IN EDUCATION (JOURNAL, CONGRESS, SYMPOSIUM, ETC ALL UNDER THIS NAME - CAN'T RANK)",,CORE2013,C,2013
INFORMATION HIDING AND MULTIMEDIA SECURITY WORKSHOP,IH&MMSec,CORE2013,C,2013
INFORMATION INTEGRATION AND WEB-BASED APPLICATIONS AND SERVICES,IIWAS,CORE2013,C,2013
INFORMATION PROCESSING IN SENSOR NETWORKS,IPSN,CORE2013,A*,2013
INFORMATION RESOURCES MANAGEMENT ASSOCIATION INTERNATIONAL CONFERENCE,IRMA,CORE2013,B,2013
INFORMATION SECURITY CONFERENCE,ISC,CORE2013,C,2013
INFORMATION SECURITY PRACTICE AND EXPERIENCE CONFERENCE,ISPEC,CORE2013,B,2013
INFORMATION SECURITY SYMPOSIUM,CERIAS,CORE2013,C,2013
INFORMATION SYSTEMS &TECHNOLOGIES /SPIE CONFERENCE ON DIGITAL VIDEO COMPRESSION ALGORITHMS & TECHNIQUES,DVAT,CORE2013,C,2013
INFORMATION SYSTEMS EDUCATION CONFERENCE,ISECON,CORE2013,B,2013
INFORMATION THEORY WORKSHOP,ITW,CORE2013,B,2013
INFORMATION VISUALISATION THEORY AND PRACTICE,InfVis,CORE2013,C,2013
INFORMATION VISUALIZATION EVALUATION,IVE,CORE2013,C,2013
INFORMATION VISUALIZATION IN BIOMEDICAL INFORMATICS,IVBI,CORE2013,C,2013
INFORMING SCIENCE AND INFORMATION TECHNOLOGY EDUCATION,InSITE,CORE2013,C,2013
INNOVATIVE APPLICATIONS IN AI,IAAI,CORE2013,B,2013
INSTITUTE FOR SMALL BUSINESS AND ENTREPRENEURSHIP ANNUAL CONFERENCE,ISBE,CORE2013,C,2013
INT. WORKSHOP ON FORMAL METHODS FOR INDUSTRIAL CRITICAL SYSTEMS,FMICS,CORE2013,C,2013
INT. WORKSHOP ON MULTI-MEDIA DATA BASE MANAGEMENT SYSTEMS,IW-MMDBMS,CORE2013,C,2013
INTEGRATED DATA ENVIRONMENTS AUSTRALIA WORKSHOP,IDEAW,CORE2013,Australasian,2013
INTEGRATED FORMAL METHODS,IFM,CORE2013,B,2013
INTEGRATION OF SOFTWARE ENGINEERING AND AGENT TECHNOLOGY,ISEAT,CORE2013,B,2013
"INTELLIGENCE TOOLS, DATA MINING, VISUALIZATION",IDV,CORE2013,C,2013
INTELLIGENT DATA ANALYSIS,IDA,CORE2013,A,2013
"INTELLIGENT MULTIMEDIA, COMPUTING AND COMMUNICATIONS TECHNOLOGIES AND APPLICATIONS OF THE FUTURE ",CCTAF ,CORE2013,C,2013
INTELLIGENT SYSTEMS IN MOLECULAR BIOLOGY,ISMB,CORE2013,A,2013
INTELLIGENT VEHICLES CONFERENCE,IEEE-IV,CORE2013,B,2013
INTELLIGENT VIRTUAL AGENTS,IVA,CORE2013,B,2013
INTENATIONAL ENVIRONMENTAL MODELLING AND SOFTWARE SOCIETY,iEMSs,CORE2013,C,2013
INTERACTION,Interaction,CORE2013,C,2013
INTERACTIVE ENTERTAINMENT,IE,CORE2013,B,2013
INTERNATIONAL AND INTERDISCIPLINARY CONFERENCE ON MODELLING AND USING CONTEXT,CONTEXT,CORE2013,C,2013
INTERNATIONAL ATLANTIC WEB INTELLIGENCE CONFERENCE,AWIC,CORE2013,C,2013
INTERNATIONAL BALTIC CONFERENCE ON DATABASES AND INFORMATION SYSTEMS,DB&IS,CORE2013,B,2013
INTERNATIONAL BUSINESS INFORMATION MANAGEMENT,IBIMA,CORE2013,B,2013
INTERNATIONAL COGNITIVE ROBOTICS CONFERENCE,COGROBO,CORE2013,B,2013
INTERNATIONAL COLLOQUIUM ON AUTOMATA LANGUAGES AND PROGRAMMING,ICALP,CORE2013,A,2013
"INTERNATIONAL COLLOQUIUM ON DATA SCIENCES, KNOWLEDGE DISCOVERY AND BUSINESS INTELLIGENCE",DSKDB,CORE2013,C,2013
INTERNATIONAL COLLOQUIUM ON STRUCTURAL INFORMATION AND COMMUNICATION COMPLEXITY,SIROCCO,CORE2013,B,2013
INTERNATIONAL COLLOQUIUM ON THEORETICAL ASPECTS OF COMPUTING,ICTAC,CORE2013,B,2013
INTERNATIONAL COMMAND AND CONTROL RESEARCH AND TECHNOLOGY SYMPOSIUM ,CCRTS ,CORE2013,C,2013
INTERNATIONAL COMPUTER SCIENCE CONFERENCE,ICSC,CORE2013,B,2013
INTERNATIONAL COMPUTER SCIENCE SYMPOSIUM IN RUSSIA,CSR,CORE2013,C,2013
INTERNATIONAL COMPUTER SOFTWARE AND APPLICATIONS CONFERENCE,COMPSAC,CORE2013,B,2013
INTERNATIONAL COMPUTER SYMPOSIUM CONFERENCE,ICSC2,CORE2013,A,2013
INTERNATIONAL COMPUTER SYMPOSIUM WORKSHOP,WICS,CORE2013,C,2013
INTERNATIONAL COMPUTING EDUCATION RESEARCH WORKSHOP,ICER,CORE2013,B,2013
"INTERNATIONAL CONFERENCE ABSTRACT STATE MACHINES, ALLOY, B, TLA, VDM, AND Z (PREVIOUSLY INTERNATIONAL CONFERENCE OF B AND Z USERS, ZB, CHANGED IN 2008)",ABZ,CORE2013,C,2013
INTERNATIONAL CONFERENCE AND EXHIBITION ON HIGH PERFORMANCE COMPUTING IN THE ASIA-PACIFIC REGION,HPC Asia,CORE2013,B,2013
"INTERNATIONAL CONFERENCE COMPUTER GRAPHICS, IMAGING AND VISUALIZATION",CGIV,CORE2013,C,2013
"INTERNATIONAL CONFERENCE FOR HIGH PERFORMANCE COMPUTING, NETWORKING, STORAGE AND ANALYSIS (WAS SUPERCOMPUTING CONFERENCE)",SC,CORE2013,A,2013
INTERNATIONAL CONFERENCE FORMAL CONCEPT ANALYSIS CONFERENCE,ICFCA,CORE2013,C,2013
"INTERNATIONAL CONFERENCE IMAGING SCIENCE, SYSTEMS AND TECHNOLOGY",CISST,CORE2013,C,2013
INTERNATIONAL CONFERENCE IN BUSINESS PROCESS MANAGEMENT,BPM,CORE2013,A,2013
INTERNATIONAL CONFERENCE OF ASIAN DIGITAL LIBRARIES,ICADL,CORE2013,A,2013
INTERNATIONAL CONFERENCE OF SOCIETY FOR GROUP DECISION AND NEGOTIATION,GDN,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON 3G MOBILE COMMUNICATION TECHNOLOGIES,3G,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON AD-HOC NETWORKS AND WIRELESS,ADHOC-NOW,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ADAPTIVE AND NATURAL COMPUTING ALGORITHMS,ICANNGA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ADVANCED AND TRUSTED COMPUTING (WAS INTERNATIONAL CONFERENCE ON AUTONOMIC AND TRUSTED COMPUTING),ATC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ADVANCED COMPUTING AND COMMUNICATIONS,AdCom,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS,ADMA,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION MANAGEMENT,IMS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION NETWORKING AND APPLICATIONS (WAS ICOIN),AINA,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ADVANCED INFORMATION SYSTEMS ENGINEERING,CaiSE,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON ADVANCED LANGUAGE PROCESSING AND WEB INFORMATION TECHNOLOGY,ALPIT,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTER-HUMAN INTERACTIONS,ACHI,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON ADVANCES IN INFRASTRUCTURE FOR ELECTRONIC BUSINESS, SCIENCE, AND EDUCATION ON THE INTERNET",SSGRR,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ADVANCES IN INTELLIGENT SYSTEMS: THEORY AND APPLICATIONS,AISTA,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ADVANCES IN MOBILE COMPUTING AND MULTIMEDIA,MOMM,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ADVANCES IN PATTERN RECOGNITION AND DIGITAL TECHNIQUES,ICAPRDT,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON AFFECTIVE COMPUTING AND INTELLIGENT INTERACTION,ACII,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE,ICAART,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON AGILE SOFTWARE DEVELOPMENT (CHNAGED IN 2010, WAS INTERNATIONAL CONFERENCE ON EXTREME PROGRAMMING AND FLEXIBLE PROCESSES IN SOFTWARE ENGINEERING)",XP,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON AI IN DESIGN,AID,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON ALGEBRAIC AND LOGIC PROGRAMMING,ALP,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ALGORITHMS AND ARCHITECTURES FOR PARALLEL PROCESSING,ICA3PP,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ALGORITHMS AND COMPLEXITY (WAS ITALIAN CONFERENCE ),CIAC,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON APPLICATION-SPECIFIC SYSTEMS, ARCHITECTURES AND PROCESSORS",ASAP,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON APPLICATIONS OF PROLOG (NO INFORMATION AFTER 2013),INAP,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON APPLIED CRYPTOGRAPHY AND NETWORK SECURITY,ACNS,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE,IC-AI,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW,ICAIL,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND PATTERN RECOGNITION,AIPR,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND SOFT COMPUTING,ICAISC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND STATISTICS,AISTATS,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN EDUCATION,AIED,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE IN SCIENCE AND TECHNOLOGY,AISAT,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS,ICANN,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL NEURAL NETWORKS AND GENETIC ALGORITHMS,ICANNGA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL REALITY AND TELEXISTANCE & EUROGRAPHICS SYMPOSIUM ON VIRTUAL ENVIRONMENTS,EGVE,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ARTIFICIAL REALITY AND TELEXISTENCE,ICAT,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON AUTOMATED DEDUCTION,CADE,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON AUTOMATED PLANNING AND SCHEDULING,ICAPS,CORE2013,A*,2013
"INTERNATIONAL CONFERENCE ON AVAILABILITY, RELIABILITY AND SECURITY",ARES,CORE2013,B,2013
"INTERNATIONAL CONFERENCE ON BROADBAND COMMUNICATIONS, NETWORKS AND SYSTEMS",Broadnets,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON BUSINESS INFORMATION SYSTEMS,BIS,CORE2013,B,2013
"INTERNATIONAL CONFERENCE ON CAD/CAM, ROBOTICS AND FACTORIES OF THE FUTURE",RFF,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON CASE-BASED REASONING,ICCBR,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON CHINESE COMPUTING,ICCC,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON COLLABORATIVE COMPUTING: NETWORKS, APPLICATIONS AND WORKSHARING",CollaborateCom,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMMUNICATION SYSTEM SOFTWARE AND MIDDLEWARE,COMSWARE,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMMUNICATION SYSTEMS AND APPLICATIONS,ICCSA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMMUNICATIONS IN COMPUTING,CIC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPILER CONSTRUCTION,CC,CORE2013,A,2013
"INTERNATIONAL CONFERENCE ON COMPILERS, ARCHITECTURE, AND SYNTHESIS FOR EMBEDDED SYSTEMS",CASES,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON COMPLEX SYSTEMS,CxS,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON COMPLEX, INTELLIGENT AND SOFTWARE INTENSIVE SYSTEMS",CISIS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTABILITY AND COMPLEXITY IN ANALYSIS,CCA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL COLLECTIVE INTELLIGENCE,ICCCI,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL ENGINEERING SCIENCE,ICES,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND MULTIMEDIA,ICCIMA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND SECURITY,CIS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE AND SOFTWARE ENGINEERING,CISE,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE FOR MODELLING, CONTROL AND AUTOMATION",CIMCA,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON COMPUTATIONAL INTELLIGENCE, ROBOTICS AND AUTONOMOUS SYSTEMS",CIRAS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL LINGUISTICS,COLING,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL MOLECULAR BIOLOGY,RECOMB,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE,ICCS,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE AND APPLICATIONS,ICCSA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTATIONAL SEMIOTICS FOR GAMES AND NEW MEDIA,Cosign,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTER ANALYSIS OF IMAGES AND PATTERNS,CAIP,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON COMPUTER COMMUNICATION AND NETWORKS,ICCCN,CORE2013,A,2013
"INTERNATIONAL CONFERENCE ON COMPUTER GRAPHICS, VIRTUAL REALITY, VISUALISATION AND INTERACTION IN AFRICA",AFRIGRAPH,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTER INFORMATION SYSTEMS AND INDUSTRIAL MANAGEMENT APPLICATIONS,CISIM,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON COMPUTER SAFETY, RELIABILITY AND SECURITY",SAFECOMP,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON COMPUTER SUPPORTED COOPERATIVE WORK IN DESIGN,CSCWD,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON COMPUTER THEORY AND APPLICATIONS,ICCTA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTER VISION SYSTEMS,ICVS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTERS AND THEIR APPLICATIONS,CATA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTERS HELPING PEOPLE WITH SPECIAL NEEDS,ICCHP,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTERS IN EDUCATION,ICCE,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON COMPUTING AND COMBINATORICS,COCOON,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON COMPUTING AND INFORMATICS,ICOCI,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COMPUTING AND INFORMATION,ICCI,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON CONCEPTUAL MODELLING,ER,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON CONCEPTUAL STRUCTURES,ICCS,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON CONCURRENCY THEORY,CONCUR,CORE2013,A,2013
"INTERNATIONAL CONFERENCE ON CONTROL, AUTOMATION, ROBOTICS AND VISION",ICARCV,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON CONVERGENCE AND HYBRID INFORMATION TECHNOLOGY,ICHIT,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON COOPERATIVE INFORMATION SYSTEMS,CoopIS,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON COORDINATION MODELS AND LANGUAGES,Coordination,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON CREATING CONNECTING AND COLLABORATING THROUGH COMPUTING,C5,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON CRYPTOLOGY AND NETWORK SECURITY,CANS,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON CRYPTOLOGY IN INDIA,INDOCRYPT,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON CYBERCRIME FORENSICS EDUCATION AND TRAINING,CFET,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON CYBERWORLDS (WAS INTERNATIONAL SYMPOSIUM ON CYBERWORLDS),CW,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON DATA ENGINEERING,ICDE,CORE2013,A*,2013
INTERNATIONAL CONFERENCE ON DATABASE AND EXPERT SYSTEMS APPLICATIONS,DEXA,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON DATABASE SYSTEMS FOR ADVANCED APPLICATIONS,DASFAA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON DATABASE THEORY,ICDT,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON DECISION SUPPORT THROUGH KNOWLEDGE MANAGEMENT ,DSTKM,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON DECLARATIVE PROGRAMMING AND KNOWLEDGE MANAGEMENT (NO INFORMATION AFTER 2013),INAP,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON DEPENDABILITY OF COMPUTER SYSTEMS,DEPCoS,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON DEPENDABLE, AUTONOMIC AND SECURE COMPUTING",DASC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON DESIGN SCIENCE RESEARCH IN INFORMATION SYSTEMS AND TECHNOLOGY,DESRIST,CORE2013,A,2013
"INTERNATIONAL CONFERENCE ON DIGITAL CONTENT, MULTIMEDIA TECHNOLOGY AND ITS APPLICATIONS",IDC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON DIGITAL GOVERNMENT RESEARCH,DGO,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON DIGITAL SOCIETY,ICDS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON DISCRETE GEOMETRY FOR COMPUTER IMAGERY,DGCI,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE,DMTCS,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND INTERNET TECHNOLOGIES,ICDCIT,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING AND NETWORKING,ICDCN,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON DISTRIBUTED COMPUTING SYSTEMS,ICDCS,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON DISTRIBUTED FRAMEWORKS FOR MULTIMEDIA APPLICATIONS,DFMA,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON DUBLIN CORE AND METADATA APPLICATIONS,DC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON E-BUSINESS,ICEB,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ELECTRONIC COMMERCE,ICEC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ELECTRONIC COMMERCE AND WEB TECHNOLOGY,ECWeb,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON ELECTRONIC VOTING,EVOTE,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON EMAIL AND ANTI-SPAM,CEAS,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON EMBEDDED AND REAL TIME COMPUTING SYSTEMS AND APPLICATIONS,RTCSA,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON EMBEDDED WIRELESS SYSTEMS AND NETWORKS (WASEUROPEAN CONFERENCE ON WIRELESS SENSOR NETWORKS),EWSN,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON ENGINEERING APPLICATIONS OF NEURAL NETWORKS,EANN,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ENGINEERING EDUCATION,ICEE,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS,ICEIS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ENTERPRISE INFORMATION SYSTEMS AND WEB TECHNOLOGIES,EISWT,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ENTERPRISE INTEGRATION AND MODELLING TECHNOLOGY,ICEIMT,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON ENTERTAINMENT COMPUTING,ICEC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON EVALUATION AND ASSESSMENT IN SOFTWARE ENGINEERING,EASE,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON EVALUATION OF NOVEL APPROACHES TO SOFTWARE ENGINEERING,ENASE,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON EXPERIMENTAL IMPLEMENTATION OF QUANTUM COMPUTATION,QuantCom,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON FIELD AND SERVICE ROBOTICS,FSR,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON FORMAL ENGINEERING METHODS,ICFEM,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON FORMAL METHODS FOR OPEN OBJECT-BASED DISTRIBUTED SYSTEMS,FMOOD,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON FORMAL ONTOLOGY IN INFORMATION SYSTEMS,FOIS,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON FOUNDATION ON DATA ORGANIZATION,FODO,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON FRONTIERS OF HANDWRITING RECOGNITION,ICFHR,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON FRONTIERS OF INFORMATION TECHNOLOGY,FIT,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON FUNCTIONAL PROGRAMMING,ICFP,CORE2013,A*,2013
INTERNATIONAL CONFERENCE ON FUZZY SYSTEMS AND KNOWLEDGE DISCOVERY,FSKD,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON GENERATIVE PROGRAMMING AND COMPONENT ENGINEERING,GPCE,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON GENETIC ALGORITHMS,ICGA,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON GEOCOMPUTATION,GeoComp,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON GRAPH TRANSFORMATIONS,ICGT,CORE2013,B,2013
"INTERNATIONAL CONFERENCE ON GREEN, PERVASIVE AND CLOUD COMPUTING (WAS GRID AND PERVASIVE COMPUTING)",GPC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON GRID AND COOPERATIVE COMPUTING,GCC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON GRID COMPUTING AND APPLICATIONS,GCA,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON GRID COMPUTING, HIGH-PERFORMANCE AND DISTRIBUTED APPLICATIONS",GADA,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON HARDWARE/SOFTWARE CODESIGN AND SYSTEM SYNTHESIS (PREVIOUSLY ISSN, CHANGED IN 2003)",CODES+ISSS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON HEALTH INFORMATICS,Healthinf,CORE2013,C,2013
"INTERNATIONAL CONFERENCE ON HETEROGENEOUS NETWORKING FOR QUALITY, RELIABILITY, SECURITY AND ROBUSTNESS (WAS INTERNATIONAL CONFERENCE ON QUALITY OF SERVICE IN HETEROGENEOUS WIRED/WIRELESS NETWORKS)",Qshine,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING,HiPC,CORE2013,A,2013
INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING AND NETWORKING,HPCN ,CORE2013,B,2013
"INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE COMPUTING, NETWORKING AND COMMUNICATION SYSTEMS",HPCNCS,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON HIGH PERFORMANCE SCIENTIFIC COMPUTING,HPSC,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON HIGH-PERFORMANCE CLUSTERED COMPUTING (INTERNATIONAL CONFERENCE ON LINUX CLUSTERS),LCI,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS,CHI,CORE2013,A*,2013
INTERNATIONAL CONFERENCE ON HUMAN-COMPUTER INTERACTION WITH MOBILE DEVICES AND SERVICES,MobileHCI,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON HYBRID ARTIFICIAL INTELLIGENCE SYSTEMS,HAIS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON HYBRID INTELLIGENT SYSTEMS,HIS,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON IMAGE ANALYSIS AND PROCESSING,ICIAP,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON IMAGE AND GRAPHICS,ICIG,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON IMAGE AND SIGNAL PROCESSING,ICISP,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON IMMERSIVE TELECOMMUNICATIONS,IMMERSCOM,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON IMPLEMENTATION AND APPLICATION OF AUTOMATA,CIAA,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON INDUSTRIAL AND ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE AND EXPERT SYSTEMS,IEA/AIE,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON INFORMATICS EDUCATION AND RESEARCH,AIS SIGED: IAIM,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES AND DEVELOPMENT,ICTD,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATION TECHNOLOGIES IN TOURISM,ENTER,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATIONS SECURITY,ICICS,CORE2013,B,2013
INTERNATIONAL CONFERENCE ON INFORMATION AND COMMUNICATIONS TECHNOLOGY,ICICT,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON INFORMATION AND EMERGING TECHNOLOGIES,ICIET,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON INFORMATION AND KNOWLEDGE ENGINEERING,IKE,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON INFORMATION FUSION,FUSION,CORE2013,C,2013
INTERNATIONAL CONFERENCE ON INFORMATION PROCESSING AND MANAGEMENT OF UNCERTAINTY,IPMU,CORE2013,C,2013
